1. Year of Study,2.  Current CGPA,3. How many programming languages do you know?,4. How many hours do you practice coding per day?,5. How many academic or personal projects have you completed?,6. Have you completed any internships?,7. How many certifications have you completed?,8. How would you rate your communication skills?,9. How often do you practice aptitude questions?,10. Have you participated in any hackathons or coding competitions?,"11. Do you regularly practice coding on platforms like HackerRank,Leetcode or codechef?",12. Is your resume ready?,13. How confident are you in attending placement interviews?,14. Which skill do you think you need to improve the most?
2nd year,9.0,2,3 hours,0.0,No,0,1.0,Never,Yes,Never,No,4.0,Communication
3rd year,8.6,1,Less than 2 hours,0.0,No,1-2,3.0,Never,No,Occassionally,No,1.0,Coding
3rd year,8.49,3,Less than 2 hours,1.0,Yes,1-2,2.0,Daily,Yes,Daily,No,1.0,Coding
3rd year,8.23,3,Not practicing,2.0,No,3-5,1.0,Never,Yes,Never,No,1.0,Coding
3rd year,7.88,1,Not practicing,3.0,No,0,4.0,Occassionally,Yes,Never,No,3.0,Coding
4th year,8.5,3,Not practicing,0.0,Yes,1-2,4.0,Occassionally,Yes,Occassionally,No,3.0,Coding
3rd year,7.0,2,Less than 2 hours,2.0,No,1-2,5.0,Occassionally,Yes,Daily,No,2.0,Coding
3rd year,8.4,3,Not practicing,0.0,No,1-2,3.0,Never,No,Never,No,2.0,Coding
3rd year,8.97,More than 3,3 hours,2.0,Yes,3-5,6.0,Occassionally,Yes,Weekly,Yes,4.0,Coding
3rd year,8.46,More than 3,Not practicing,3.0,Yes,More than 5,6.0,Never,Yes,Occassionally,No,3.0,Coding
4th year,8.67,1,Not practicing,2.0,No,1-2,3.0,Never,Yes,Never,No,3.0,Technical knowledge
4th year,8.4,1,Not practicing,2.0,No,3-5,5.0,Occassionally,No,Never,No,2.0,Coding
3rd year,9.0,1,Not practicing,2.0,Yes,0,6.0,Occassionally,Yes,Occassionally,No,3.0,Coding
3rd year,9.04,3,Not practicing,2.0,No,0,3.0,Never,Yes,Occassionally,No,2.0,Coding
3rd year,8.48,3,Less than 2 hours,2.0,No,1-2,5.0,Weekly,Yes,Weekly,No,3.0,Coding
3rd year,9.04,3,3 hours,2.0,No,1-2,4.0,Daily,Yes,Daily,No,4.0,Communication
3rd year,8.77,2,Less than 2 hours,2.0,No,1-2,4.0,Occassionally,Yes,Occassionally,No,3.0,Communication
3rd year,9.2,3,Less than 2 hours,2.0,Yes,1-2,5.0,Weekly,Yes,Occassionally,No,2.0,Coding
4th year,8.85,More than 3,Less than 2 hours,2.0,No,1-2,6.0,Occassionally,Yes,Occassionally,Yes,3.0,Technical knowledge
4th year,9.12,3,Less than 2 hours,2.0,Yes,1-2,7.0,Daily,Yes,Occassionally,Yes,5.0,Coding
3rd year,8.16,3,Less than 2 hours,2.0,Yes,3-5,5.0,Occassionally,Yes,Weekly,Yes,3.0,Communication
3rd year,8.87,More than 3,3 hours,1.0,Yes,More than 5,3.0,Weekly,Yes,Occassionally,No,3.0,Technical knowledge
3rd year,8.43,3,Less than 2 hours,2.0,Yes,0,4.0,Occassionally,Yes,Occassionally,Yes,3.0,Coding
4th year,8.6,3,Less than 2 hours,1.0,Yes,1-2,5.0,Weekly,Yes,Weekly,Yes,3.0,Coding
3rd year,8.0,2,Less than 2 hours,2.0,Yes,1-2,4.0,Weekly,Yes,Weekly,No,2.0,Coding
4th year,8.67,More than 3,Less than 2 hours,0.0,Yes,More than 5,4.0,Occassionally,Yes,Occassionally,No,3.0,Technical knowledge
4th year,9.01,3,Less than 2 hours,0.0,Yes,More than 5,4.0,Weekly,Yes,Occassionally,No,2.0,Technical knowledge
