1. Year of Study,2.  Current CGPA,3. How many programming languages do you know?,4. How many hours do you practice coding per day?,5. How many academic or personal projects have you completed?,6. Have you completed any internships?,7. How many certifications have you completed?,8. How would you rate your communication skills?,9. How often do you practice aptitude questions?,10. Have you participated in any hackathons or coding competitions?,"11. Do you regularly practice coding on platforms like HackerRank,Leetcode or codechef?",12. Is your resume ready?,13. How confident are you in attending placement interviews?,14. Which skill do you think you need to improve the most?
2nd year,9,2,3 hours,0,No,0,1,Never,Yes,Never,No,4,Communication
3rd year,8.6,1,Less than 2 hours,0,No,1-2,3,Never,No,Occassionally,No,1,Coding
3rd year,8.49,3,Less than 2 hours,1,Yes,1-2,2,Daily,Yes,Daily,No,1,Coding
3rd year,8.23,3,Not practicing,2,No,3-5,1,Never,Yes,Never,No,1,Coding
3rd year,7.88,1,Not practicing,3,No,0,4,Occassionally,Yes,Never,No,3,Coding
4th year,8.5,3,Not practicing,0,Yes,1-2,4,Occassionally,Yes,Occassionally,No,3,Coding
3rd year,7,2,Less than 2 hours,2,No,1-2,5,Occassionally,Yes,Daily,No,2,Coding
3rd year,8.4,3,Not practicing,0,No,1-2,3,Never,No,Never,No,2,Coding
3rd year,8.97,More than 3,3 hours,2,Yes,3-5,6,Occassionally,Yes,Weekly,Yes,4,Coding
3rd year,8.46,More than 3,Not practicing,3,Yes,More than 5,6,Never,Yes,Occassionally,No,3,Coding
4th year,8.67,1,Not practicing,2,No,1-2,3,Never,Yes,Never,No,3,Technical knowledge
4th year,8.4,1,Not practicing,2,No,3-5,5,Occassionally,No,Never,No,2,Coding
3rd year,9,1,Not practicing,2,Yes,0,6,Occassionally,Yes,Occassionally,No,3,Coding
3rd year,9.04,3,Not practicing,2,No,0,3,Never,Yes,Occassionally,No,2,Coding
3rd year,8.48,3,Less than 2 hours,2,No,1-2,5,Weekly,Yes,Weekly,No,3,Coding
3rd year,9.04,3,3 hours,2,No,1-2,4,Daily,Yes,Daily,No,4,Communication
3rd year,8.77,2,Less than 2 hours,2,No,1-2,4,Occassionally,Yes,Occassionally,No,3,Communication
3rd year,9.2,3,Less than 2 hours,2,Yes,1-2,5,Weekly,Yes,Occassionally,No,2,Coding
4th year,8.85,More than 3,Less than 2 hours,2,No,1-2,6,Occassionally,Yes,Occassionally,Yes,3,Technical knowledge
4th year,9.12,3,Less than 2 hours,2,Yes,1-2,7,Daily,Yes,Occassionally,Yes,5,Coding
3rd year,8.16,3,Less than 2 hours,2,Yes,3-5,5,Occassionally,Yes,Weekly,Yes,3,Communication
3rd year,8.87,More than 3,3 hours,1,Yes,More than 5,3,Weekly,Yes,Occassionally,No,3,Technical knowledge
3rd year,8.43,3,Less than 2 hours,2,Yes,0,4,Occassionally,Yes,Occassionally,Yes,3,Coding
4th year,8.6,3,Less than 2 hours,1,Yes,1-2,5,Weekly,Yes,Weekly,Yes,3,Coding
3rd year,8,2,Less than 2 hours,2,Yes,1-2,4,Weekly,Yes,Weekly,No,2,Coding
4th year,8.67,More than 3,Less than 2 hours,0,Yes,More than 5,4,Occassionally,Yes,Occassionally,No,3,Technical knowledge
4th year,9.01,3,Less than 2 hours,0,Yes,More than 5,4,Weekly,Yes,Occassionally,No,2,Technical knowledge
4th year,8.84,More than 3,Less than 2 hours,2,Yes,More than 5,6,Weekly,Yes,Weekly,No,3,Technical knowledge
4th year,8.66,1,Not practicing,0,No,0,4,Never,Yes,Occassionally,No,3,Coding
3rd year,,3,Less than 2 hours,3,Yes,0,6,Occassionally,Yes,Occassionally,Yes,1,Coding
3rd year,8.4,3,Not practicing,0,No,1-2,3,Never,No,Never,No,2,Coding
3rd year,8.77,2,Less than 2 hours,2,No,1-2,4,Occassionally,Yes,Occassionally,No,3,Communication
3rd year,,More than 3,Less than 2 hours,2,Yes,1-2,6,Weekly,Yes,Weekly,No,3,Technical knowledge
3rd year,9.04,3,Not practicing,2,No,3-5,3,Never,Yes,Occassionally,No,2,Coding
3rd year,8.48,3,Less than 2 hours,2,No,1-2,5,Weekly,Yes,Weekly,No,3,Coding
3rd year,8.4,3,Not practicing,0,No,1-2,3,Never,No,Never,No,2,Coding
4th year,9,1,Not practicing,2,Yes,1-2,6,,Yes,Occassionally,No,3,Coding
3rd year,8.46,More than 3,Not practicing,3,Yes,1-2,6,Never,Yes,Occassionally,No,3,Coding
4th year,7,2,Less than 2 hours,,No,More than 5,5,Occassionally,Yes,Daily,No,2,Coding
3rd year,8.48,3,Less than 2 hours,2,No,0,5,Weekly,Yes,Weekly,No,3,Coding
4th year,8.4,1,Not practicing,2,No,1-2,5,Occassionally,No,Never,No,2,Coding
3rd year,9.01,3,Less than 2 hours,0,Yes,0,4,Weekly,Yes,Occassionally,No,2,Technical knowledge
3rd year,8.84,More than 3,Less than 2 hours,2,Yes,1-2,6,Weekly,Yes,Weekly,No,3,
4th year,8.66,1,Not practicing,0,No,1-2,4,Never,Yes,Occassionally,No,3,Coding
3rd year,8,2,Less than 2 hours,2,Yes,1-2,4,Weekly,Yes,Weekly,No,2,Coding
4th year,8.85,More than 3,,2,No,More than 5,6,Occassionally,Yes,Occassionally,Yes,3,Technical knowledge
3rd year,8.97,More than 3,3 hours,2,Yes,0,6,Occassionally,Yes,Weekly,Yes,4,Coding
3rd year,8.4,1,Not practicing,2,No,1-2,5,Occassionally,No,Never,No,2,Coding
4th year,8.43,3,Less than 2 hours,2,Yes,0,4,Occassionally,Yes,,Yes,3,Coding
4th year,8.87,More than 3,3 hours,1,Yes,1-2,3,Weekly,Yes,Occassionally,No,3,Technical knowledge
4th year,8.97,More than 3,3 hours,2,Yes,0,6,Occassionally,Yes,Weekly,Yes,,Coding
4th year,8.48,,Less than 2 hours,2,No,0,5,Weekly,Yes,Weekly,No,3,Coding
4th year,7,2,Less than 2 hours,2,No,1-2,5,Occassionally,Yes,Daily,No,2,Coding
4th year,9.04,3,Not practicing,2,No,0,3,,Yes,Occassionally,No,2,Coding
3rd year,,3,Less than 2 hours,3,Yes,1-2,6,Occassionally,Yes,Occassionally,Yes,1,Coding
3rd year,8.43,3,Less than 2 hours,2,,1-2,4,Occassionally,,Occassionally,Yes,3,Coding
3rd year,8.46,More than 3,Not practicing,3,Yes,1-2,6,Never,Yes,Occassionally,No,3,Coding
3rd year,8.97,More than 3,3 hours,2,Yes,0,6,Occassionally,Yes,Weekly,Yes,4,Coding
3rd year,8.16,3,Less than 2 hours,2,Yes,1-2,5,Occassionally,Yes,Weekly,Yes,3,Communication
4th year,,3,Less than 2 hours,3,Yes,1-2,6,Occassionally,Yes,Occassionally,Yes,1,
4th year,7,,Less than 2 hours,2,No,0,5,Occassionally,Yes,Daily,No,2,Coding
4th year,8.16,3,Less than 2 hours,2,Yes,3-5,5,Occassionally,Yes,Weekly,Yes,3,Communication
3rd year,8.6,1,Less than 2 hours,0,No,0,3,Never,No,Occassionally,No,1,Coding
3rd year,9.04,3,3 hours,2,No,0,4,Daily,Yes,Daily,No,4,Communication
